Time,Round,Picture_Number,Location,Zone,Environment,Tide,Lux_200,Lux_0,Sky_Glow,Species_Richness,Mobile_Sp_Abundance,Mobile_Sp_Richness,Sessile_Sp_Abundance,Sessile_Sp_Richness,Algal_Sp_Percent_Cover,Algal_Sp_Richness,Filter_Feeders_%_Sessile,Filter_Feeders_%_Mobile,Photosynthetic,Predators,Grazers,Omnivore,Detritivore,Bare_substrata,Elminus,Saccostrea,Chthamalus,Pyura_stolonifera,Tesseropora,Mytilus_planulatus,Ecklonia_radiata,Galeolaria,Haliclona_permollis,Ralfsia_verrucosa,Gelidiella,Blidingia_minima,C_peli,Ulva_lactuca,Coralina,Grasilaria ,Red_Sea_Lettuce,Oulactis_muscosa,Actinia_tenebrosa,Tenguella_marginalba,Dicathais_orbita,Bembicium_nanum,Elysia_coodgeensis, Turbo_undulata,Austrocochlea_porcata,Bembicium_melanostomum,Nerita_atramentosa,Nodilittorina_unifasciata,Littorina_littorea,Nodilittorina_pyramidalis,Red_Spiral_Snail,Siphonaria_guamensis,Cellana_tramoserica,Siphonaria_diemenensis,Patelloida_mimula,Patelloida_alticostata,Siphonaria_funiculata,Siphonaria_recruit,Patelloida_mufria,Chiton_pelliserpentis,Onchidiidae,Patelloida_saccharina,Patiriella_exigua,Crab,Shrimp,Amphipod
Day,One,290,Balmain,Inner ,Rocky Shore,Mid,885,NA,NA,6,32,3,45,1,70,2,45,0,70,0,32,0,0,55,0,45,0,0,0,0,0,0,0,0,0,50,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
Day,One,291,Balmain,Inner ,Rocky Shore,Mid,850,NA,NA,5,17,2,10,1,90,2,10,0,90,0,17,0,0,90,10,0,0,0,0,0,0,0,0,0,0,80,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,292,Balmain,Inner ,Rocky Shore,Mid,850,NA,NA,7,8,4,5,1,80,2,5,0,80,0,8,0,0,95,5,0,0,0,0,0,0,0,0,0,0,35,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Day,One,293,Balmain,Inner ,Rocky Shore,Mid,725,NA,NA,4,1,1,3,1,100,2,3,0,100,0,1,0,0,97,3,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,294,Balmain,Inner ,Rocky Shore,Mid,825,NA,NA,4,1,1,5,1,100,2,5,0,100,0,1,0,0,95,0,5,0,0,0,0,0,0,0,0,0,30,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,296,Balmain,Inner ,Rocky Shore,Mid,815,NA,NA,6,31,2,50,2,70,2,50,0,70,0,31,0,0,50,10,40,0,0,0,0,0,0,0,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,0,0,0,0,0,0,0,0,0,0,0
Day,One,297,Balmain,Inner ,Rocky Shore,Mid,913,NA,NA,3,3,1,0,0,100,2,0,0,100,0,3,0,0,100,0,0,0,0,0,0,0,0,0,0,0,25,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,298,Balmain,Inner ,Rocky Shore,Mid,854,NA,NA,9,6,4,100,1,95,4,100,0,95,2,4,0,0,0,100,0,0,0,0,0,0,0,0,0,0,20,30,5,40,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Day,One,299,Balmain,Inner ,Rocky Shore,Mid,937,NA,NA,8,12,4,80,1,75,3,80,0,75,0,12,0,0,20,0,80,0,0,0,0,0,0,0,20,0,25,0,0,30,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Day,One,300,Balmain,Inner ,Rocky Shore,Mid,799,NA,NA,8,16,4,30,2,80,2,30,0,80,1,15,0,0,70,5,25,0,0,0,0,0,0,0,0,0,60,0,0,20,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
Day,One,278,Balmain,Inner ,Rocky Shore,High,885,NA,NA,3,0,0,10,1,100,2,10,0,100,0,0,0,0,90,10,0,0,0,0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,279,Balmain,Inner ,Rocky Shore,High,850,NA,NA,6,3,2,75,2,75,2,75,0,75,0,3,0,0,25,50,25,0,0,0,0,0,0,0,55,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Day,One,280,Balmain,Inner ,Rocky Shore,High,850,NA,NA,8,18,3,75,2,65,3,75,0,65,0,18,0,0,25,5,70,0,0,0,0,0,0,0,35,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0
Day,One,281,Balmain,Inner ,Rocky Shore,High,725,NA,NA,2,1,1,15,1,0,0,15,0,0,0,1,0,0,85,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,282,Balmain,Inner ,Rocky Shore,High,825,NA,NA,5,5,2,5,1,65,2,5,0,65,0,5,0,0,95,0,5,0,0,0,0,0,0,0,0,0,50,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,283,Balmain,Inner ,Rocky Shore,High,815,NA,NA,2,0,0,5,1,95,1,5,0,95,0,0,0,0,95,5,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,284,Balmain,Inner ,Rocky Shore,High,913,NA,NA,1,0,0,0,0,95,1,0,0,95,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day,One,285,Balmain,Inner ,Rocky Shore,High,854,NA,NA,5,6,3,15,1,35,1,15,0,35,0,5,1,0,85,0,15,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
Day,One,286,Balmain,Inner ,Rocky Shore,High,937,NA,NA,6,8,2,40,1,75,3,40,0,75,0,8,0,0,60,0,40,0,0,0,0,0,0,0,30,0,40,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Day,One,287,Balmain,Inner ,Rocky Shore,High,799,NA,NA,5,11,2,20,1,30,2,20,0,30,0,11,0,0,80,0,20,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Night,One,229,Balmain,Inner ,Rocky Shore,Mid,NA,0.1,17.84,9,22,5,40,1,75,3,40,0,75,1,21,0,0,60,0,0,40,0,0,0,0,0,0,20,0,25,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0
Night,One,230,Balmain,Inner ,Rocky Shore,Mid,NA,0,17.65,6,19,3,20,1,60,2,20,0,60,0,19,0,0,80,0,0,20,0,0,0,0,0,0,0,0,25,0,0,35,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0
Night,One,231,Balmain,Inner ,Rocky Shore,Mid,NA,0,17.57,7,9,3,35,1,40,3,35,0,40,0,9,0,0,65,0,0,35,0,0,0,0,0,0,15,0,15,10,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Night,One,232,Balmain,Inner ,Rocky Shore,Mid,NA,0,15.56,6,22,3,65,1,75,2,65,0,75,0,22,0,0,35,0,0,65,0,0,0,0,0,0,0,0,5,0,0,70,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0
Night,One,233,Balmain,Inner ,Rocky Shore,Mid,NA,0,15.16,5,14,2,20,1,90,2,20,0,90,0,14,0,0,80,0,0,20,0,0,0,0,0,0,0,0,80,0,0,10,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
